Locus_name	Locus_TAIR_accession	InteractorLocus_name	InteractorLocus_TAIR_accession	Evidence_code	Evidence_description	TAIR_reference_id	PubMed_id	Date_updated	Annotated_by
AT4G02570	Locus:2132377	AT2G03160	Locus:2056966	IPI	yeast two-hybrid assay	Publication:501718396	PMID:16412087	5/22/09	BIOGRID
AT4G02570	Locus:2132377	AT2G03170	Locus:2056956	IPI	yeast two-hybrid assay	Publication:501718396	PMID:16412087	5/22/09	BIOGRID
AT4G02570	Locus:2132377	AT2G03190	Locus:2056931	IPI	yeast two-hybrid assay	Publication:501718396	PMID:16412087	5/22/09	BIOGRID
AT4G02570	Locus:2132377	AT2G25700	Locus:2050281	IPI	yeast two-hybrid assay	Publication:501718396	PMID:16412087	5/22/09	BIOGRID
AT4G02570	Locus:2132377	AT3G21860	Locus:2093094	IPI	yeast two-hybrid assay	Publication:501718396	PMID:16412087	5/22/09	BIOGRID
AT4G02570	Locus:2132377	AT3G25650	Locus:2102370	IPI	yeast two-hybrid assay	Publication:501718396	PMID:16412087	5/22/09	BIOGRID
AT4G02570	Locus:2132377	AT3G60010	Locus:2080532	IPI	yeast two-hybrid assay	Publication:501718396	PMID:16412087	5/22/09	BIOGRID
AT4G02570	Locus:2132377	AT4G34210	Locus:2124281	IPI	yeast two-hybrid assay	Publication:501718396	PMID:16412087	5/22/09	BIOGRID
AT4G02570	Locus:2132377	AT5G20570	Locus:2149927	IDA	affinity capture	Publication:501720609	PMID:17158585	5/22/09	BIOGRID
AT4G02570	Locus:2132377	AT5G42190	Locus:2165825	IPI	yeast two-hybrid assay	Publication:501718396	PMID:16412087	5/22/09	BIOGRID
AT4G02640	Locus:2132372	AT4G34590	Locus:2139584	IPI	yeast two-hybrid assay	Publication:501719057	PMID:16709202	4/5/07	TAIR
AT4G02640	Locus:2132372	AT5G49450	Locus:2157999	IPI	yeast two-hybrid assay	Publication:501719057	PMID:16709202	4/5/07	TAIR
AT4G03190	Locus:2125527	AT5G42190	Locus:2165825	IPI	yeast two-hybrid assay	Publication:501681440	PMID:12008900	5/10/06	TAIR
AT4G04885	Locus:504955249	AT5G13480	Locus:2185036	IDA	affinity capture	Publication:501724060	PMID:18298670	5/22/09	BIOGRID
AT4G05420	Locus:2115909	AT1G80670	Locus:2025732	IPI	yeast two-hybrid assay	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G05420	Locus:2115909	AT2G19430	Locus:2047635	IPI	yeast two-hybrid assay	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G05420	Locus:2115909	AT2G46280	Locus:2063009	IPI	yeast two-hybrid assay	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G05420	Locus:2115909	AT3G45620	Locus:2085602	IPI	yeast two-hybrid assay	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G05420	Locus:2115909	AT4G10180	Locus:2005505	IPI	yeast two-hybrid assay	Publication:501719356	PMID:16792691	5/22/09	BIOGRID
AT4G05420	Locus:2115909	AT4G15900	Locus:2005539	IPI	yeast two-hybrid assay	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G05420	Locus:2115909	AT4G28450	Locus:2121328	IPI	yeast two-hybrid assay	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G05420	Locus:2115909	AT4G29830	Locus:2123929	IPI	yeast two-hybrid assay	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G05420	Locus:2115909	AT4G34460	Locus:2139489	IPI	yeast two-hybrid assay	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G05420	Locus:2115909	AT4G35050	Locus:2131551	IPI	yeast two-hybrid assay	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G05420	Locus:2115909	AT5G13480	Locus:2185036	IPI	yeast two-hybrid assay	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G05420	Locus:2115909	AT5G46210	Locus:2162060	IPI	yeast two-hybrid assay	Publication:501719202	PMID:16844902	5/22/09	BIOGRID
AT4G05420	Locus:2115909	AT5G58760	Locus:2178808	IPI	yeast two-hybrid assay	Publication:501719356	PMID:16792691	5/22/09	BIOGRID
AT4G08500	Locus:2133559	AT4G29810	Locus:2123909	IPI	split-reporter assay		PMID:18982020	5/22/09	BIOGRID
AT4G08920	Locus:2138728	AT5G57360	Locus:2172994	IPI	yeast two-hybrid assay	Publication:501679409	PMID:11260718	3/3/06	TAIR
AT4G09570	Locus:2136917	AT1G02410	Locus:2204838	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G09570	Locus:2136917	AT1G23080	Locus:2201225	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G09570	Locus:2136917	AT1G56280	Locus:2011856	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G09570	Locus:2136917	AT2G22910	Locus:2059165	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G09570	Locus:2136917	AT3G21160	Locus:2092965	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G09570	Locus:2136917	AT3G22530	Locus:2077036	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G09570	Locus:2136917	AT3G26510	Locus:2088862	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G09570	Locus:2136917	AT3G48360	Locus:2101135	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G09570	Locus:2136917	AT3G54050	Locus:2080225	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G09570	Locus:2136917	AT4G14830	Locus:2130369	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G09570	Locus:2136917	AT5G21940	Locus:504956449	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G09570	Locus:2136917	AT5G50920	Locus:2157383	IPI	yeast two-hybrid assay	Publication:501729602	PMID:19130088	5/22/09	BIOGRID
AT4G11110	Locus:2136133	AT5G15840	Locus:2143206	IDA	in vitro reconstitution assay with recombinant protein	Publication:501719595	PMID:16854975	5/22/09	BIOGRID
AT4G11260	Locus:2128278	AT5G02500	Locus:2181833	IPI	fusion protein pull-down assay	Publication:501723792	PMID:18065690	2/21/08	TAIR
AT4G11260	Locus:2128278	AT5G52640	Locus:2149569	IPI	yeast two-hybrid assay	Publication:501710488	PMID:14504384	9/15/06	TAIR
AT4G11960	Locus:2118031	ATCG00720	Locus:504954695	IPI	split-reporter assay	Publication:501724018	PMID:18243102	2/7/08	TAIR
AT4G12620	Locus:2135575	AT4G29910	Locus:2123934	IPI	Co-immunoprecipitation	Publication:501717676	PMID:16179646	5/8/06	TAIR
AT4G13870	Locus:2119525	AT1G31360	Locus:2197555	IPI	yeast two-hybrid assay	Publication:5917	PMID:11058127	5/8/06	TAIR
AT4G14550	Locus:2129900	AT5G20730	Locus:2180469	IPI	yeast two-hybrid assay	Publication:501717883	PMID:16236149	5/10/06	TAIR
AT4G14700	Locus:2130090	AT5G19330	Locus:2150295	IDA	in vitro reconstitution assay with recombinant protein	Publication:501728647	PMID:18818695	5/22/09	BIOGRID
AT4G15900	Locus:2005539	AT4G21100	Locus:2127368	IPI	Co-immunoprecipitation	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G16110	Locus:2130095	AT3G25900	Locus:2092120	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT4G16110	Locus:2130095	AT5G39340	Locus:2175643	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT4G16250	Locus:2005535	AT4G18130	Locus:2005536	IDA	affinity capture	Publication:501712800	PMID:15273290	5/22/09	BIOGRID
AT4G16845	Locus:3685330	AT3G20740	Locus:2091876	IPI	Co-immunoprecipitation	Publication:501719902	PMID:16983073	8/22/08	TAIR
AT4G16845	Locus:3685330	AT4G02020	Locus:2132178	IPI	Co-immunoprecipitation	Publication:501719902	PMID:16983073	8/22/08	TAIR
AT4G16845	Locus:3685330	AT5G57380	Locus:2173004	IPI	Co-immunoprecipitation	Publication:501719902	PMID:16983073	8/22/08	TAIR
AT4G17615	Locus:2129306	AT4G30960	Locus:2126749	IPI	yeast two-hybrid assay	Publication:1045743	PMID:11230129	6/13/06	TAIR
AT4G17615	Locus:2129306	AT5G01820	Locus:2181057	IDA	immunoprecipitation	Publication:501680090	PMID:11577192	6/13/06	TAIR
AT4G17750	Locus:2005495	AT3G12580	Locus:2101222	IPI	yeast two-hybrid assay	Publication:1547336	PMID:11807141	6/9/06	TAIR
AT4G17750	Locus:2005495	AT3G48750	Locus:2099478	IDA	in vitro reconstitution assay with recombinant protein	Publication:3022	PMID:9306693	5/22/09	BIOGRID
AT4G19660	Locus:2133925	AT3G12250	Locus:2082234	IPI	yeast two-hybrid assay	Publication:501720485	PMID:17076807	3/21/07	TAIR
AT4G19660	Locus:2133925	AT5G06950	Locus:2169394	IPI	yeast one-hybrid assay	Publication:501720485	PMID:17076807	3/21/07	TAIR
AT4G21100	Locus:2127368	AT4G29830	Locus:2123929	IPI	Co-immunoprecipitation	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G21100	Locus:2127368	AT4G35050	Locus:2131551	IPI	Co-immunoprecipitation	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G21100	Locus:2127368	AT5G13480	Locus:2185036	IPI	Co-immunoprecipitation	Publication:501723872	PMID:18223036	3/8/08	TAIR
AT4G21380	Locus:2141181	AT3G46510	Locus:2075140	IPI	yeast two-hybrid assay	Publication:501725140	PMID:18552232	5/22/09	BIOGRID
AT4G21380	Locus:2141181	AT3G54850	Locus:2082682	IPI	yeast two-hybrid assay	Publication:501725140	PMID:18552232	5/22/09	BIOGRID
AT4G21380	Locus:2141181	AT5G65200	Locus:2171810	IPI	yeast two-hybrid assay	Publication:501725140	PMID:18552232	5/22/09	BIOGRID
AT4G21670	Locus:2119053	AT3G26730	Locus:2090827	IPI	yeast two-hybrid assay	Publication:501725178	PMID:18541146	5/22/09	BIOGRID
AT4G21670	Locus:2119053	AT3G49250	Locus:2082876	IPI	yeast two-hybrid assay	Publication:501725178	PMID:18541146	5/22/09	BIOGRID
AT4G22200	Locus:2132065	AT3G11410	Locus:2080787	IPI	yeast two-hybrid assay	Publication:501680350	PMID:11181729	5/9/06	TAIR
AT4G22200	Locus:2132065	AT4G32650	Locus:2005524	IPI	yeast two-hybrid assay	Publication:501705888	PMID:12678562	5/9/06	TAIR
AT4G22890	Locus:2127233	AT1G60950	Locus:2206061	IPI	split-reporter assay	Publication:501724018	PMID:18243102	2/7/08	TAIR
AT4G22890	Locus:2127233	AT4G02770	Locus:2140255	IPI	split-reporter assay	Publication:501724018	PMID:18243102	2/7/08	TAIR
AT4G22890	Locus:2127233	AT5G66190	Locus:2156917	IPI	split-reporter assay	Publication:501724018	PMID:18243102	2/7/08	TAIR
AT4G22890	Locus:2127233	ATCG00720	Locus:504954695	IPI	split-reporter assay	Publication:501724018	PMID:18243102	2/7/08	TAIR
AT4G23430	Locus:2117969	AT5G16620	Locus:2174155	IDA	affinity capture	Publication:501712698	PMID:15180984	5/22/09	BIOGRID
AT4G24660	Locus:2121989	AT3G28920	Locus:2095157	IPI	yeast two-hybrid assay	Publication:501718353	PMID:16428600	4/6/06	TAIR
AT4G24660	Locus:2121989	AT5G15210	Locus:2150871	IPI	yeast two-hybrid assay	Publication:501718353	PMID:16428600	4/6/06	TAIR
AT4G24660	Locus:2121989	AT5G39760	Locus:2167052	IPI	yeast two-hybrid assay	Publication:501718353	PMID:16428600	4/6/06	TAIR
AT4G26070	Locus:2120855	AT4G08500	Locus:2133559	IPI	Co-immunoprecipitation	Publication:501717936	PMID:16211390	6/14/06	TAIR
AT4G26090	Locus:2005517	AT2G45960	Locus:2050649	IDA	affinity capture	Publication:501729159	PMID:19000159	5/22/09	BIOGRID
AT4G26090	Locus:2005517	AT3G45780	Locus:2102674	IDA	affinity capture	Publication:501729159	PMID:19000159	5/22/09	BIOGRID
AT4G26090	Locus:2005517	AT5G58140	Locus:2155821	IDA	affinity capture	Publication:501729159	PMID:19000159	5/22/09	BIOGRID
AT4G26500	Locus:2131488	AT5G65720	Locus:2169985	IPI	yeast two-hybrid assay	Publication:501718333	PMID:16437155	2/23/06	TAIR
AT4G26570	Locus:2133867	AT3G23000	Locus:2094553	IPI	yeast two-hybrid assay	Publication:1045743	PMID:11230129	3/2/06	TAIR
AT4G26570	Locus:2133867	AT4G30960	Locus:2126749	IPI	yeast two-hybrid assay	Publication:1345965	PMID:11115898	11/4/03	TAIR
AT4G26570	Locus:2133867	AT4G38800	Locus:2141806	IPI	yeast two-hybrid assay	Publication:501728886	PMID:18945934	5/22/09	BIOGRID
AT4G26570	Locus:2133867	AT5G07070	Locus:2169444	IPI	yeast two-hybrid assay	Publication:1345965	PMID:11115898	11/4/03	TAIR
AT4G27180	Locus:2136437	AT5G54670	Locus:2157533	IDA	in vitro reconstitution assay with recombinant protein	Publication:501720717	PMID:17244481	5/22/09	BIOGRID
AT4G27330	Locus:2131729	AT2G45190	Locus:2005492	IPI	yeast two-hybrid assay	Publication:501713074	PMID:15299139	6/13/06	TAIR
AT4G27330	Locus:2131729	AT4G00180	Locus:2126931	IDA	in vitro binding assay	Publication:501713074	PMID:15299139	6/13/06	TAIR
AT4G28540	Locus:2121338	AT5G62700	Locus:2172214	IDA	in vitro reconstitution assay with recombinant protein	Publication:501728887	PMID:18945931	5/22/09	BIOGRID
AT4G28980	Locus:2119961	AT1G67580	Locus:2008595	IDA	affinity capture	Publication:501721421	PMID:17426018	5/22/09	BIOGRID
AT4G29910	Locus:2123934	AT4G14700	Locus:2130090	IPI	Co-immunoprecipitation	Publication:501717676	PMID:16179646	5/8/06	TAIR
AT4G31800	Locus:2124874	AT2G25000	Locus:2047395	IPI	Co-immunoprecipitation	Publication:501718948	PMID:16603654	6/9/06	TAIR
AT4G31920	Locus:2116587	AT3G21510	Locus:2089900	IPI	yeast two-hybrid assay	Publication:501680317	PMID:11158442	2/29/08	TAIR
AT4G31920	Locus:2116587	AT3G29350	Locus:2093817	IPI	yeast two-hybrid assay	Publication:501680317	PMID:11158442	2/29/08	TAIR
AT4G31920	Locus:2116587	AT5G11090	Locus:2184926	IPI	yeast two-hybrid assay	Publication:501727302	PMID:18642946	5/22/09	BIOGRID
AT4G32410	Locus:2127776	AT5G64740	Locus:2176090	IPI	split-reporter assay	Publication:501723132	PMID:17878303	3/20/08	TAIR
AT4G32551	Locus:2131327	AT4G38130	Locus:2120948	IDA	in vitro reconstitution assay with recombinant protein	Publication:501721526	PMID:17526732	5/22/09	BIOGRID
AT4G33430	Locus:2119260	AT5G46330	Locus:2170483	IDA	affinity capture		PMID:18621007	5/22/09	BIOGRID
AT4G33950	Locus:2118929	AT4G26080	Locus:2005488	IPI	yeast two-hybrid assay	Publication:501718195	PMID:16365038	6/27/06	TAIR
AT4G34110	Locus:2124261	AT2G26280	Locus:2057775	IPI	yeast two-hybrid assay	Publication:501728727	PMID:18796636	5/22/09	BIOGRID
AT4G34110	Locus:2124261	AT2G41430	Locus:2060529	IPI	yeast two-hybrid assay	Publication:501728727	PMID:18796636	5/22/09	BIOGRID
AT4G34110	Locus:2124261	AT4G10610	Locus:2139242	IPI	yeast two-hybrid assay	Publication:501728727	PMID:18796636	5/22/09	BIOGRID
AT4G34160	Locus:2124331	AT2G27970	Locus:2057825	IDA	affinity capture	Publication:501721421	PMID:17426018	5/22/09	BIOGRID
AT4G34160	Locus:2124331	AT3G19150	Locus:2094118	IDA	affinity capture	Publication:501721421	PMID:17426018	5/22/09	BIOGRID
AT4G34160	Locus:2124331	AT3G48750	Locus:2099478	IDA	affinity capture	Publication:501721421	PMID:17426018	5/22/09	BIOGRID
AT4G34160	Locus:2124331	AT5G02220	Locus:2185213	IDA	affinity capture	Publication:501721421	PMID:17426018	5/22/09	BIOGRID
AT4G34210	Locus:2124281	AT2G02360	Locus:2056231	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/11/06	TAIR
AT4G34210	Locus:2124281	AT5G49610	Locus:2157834	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/11/06	TAIR
AT4G34470	Locus:2139504	AT5G49610	Locus:2157834	IPI	yeast two-hybrid assay	Publication:501712002	PMID:14749489	5/8/06	TAIR
AT4G34590	Locus:2139584	AT5G24800	Locus:2149403	IPI	yeast two-hybrid assay	Publication:501719057	PMID:16709202	4/5/07	TAIR
AT4G34590	Locus:2139584	AT5G28770	Locus:2184251	IPI	yeast two-hybrid assay	Publication:501719057	PMID:16709202	4/5/07	TAIR
AT4G35000	Locus:2131586	AT5G10450	Locus:2142489	IPI	yeast two-hybrid assay	Publication:3089	PMID:9290648	12/20/04	TAIR
AT4G35450	Locus:2117607	AT3G17970	Locus:2088600	IPI	fusion protein pull-down assay	Publication:501723949	PMID:18193034	2/14/08	TAIR
AT4G35450	Locus:2117607	AT3G52420	Locus:2079929	IPI	Co-immunoprecipitation	Publication:501723949	PMID:18193034	2/14/08	TAIR
AT4G35450	Locus:2117607	AT5G05000	Locus:2175259	IPI	fusion protein pull-down assay	Publication:501723949	PMID:18193034	2/14/08	TAIR
AT4G37650	Locus:2120106	AT5G03150	Locus:2143543	IPI	split-reporter assay	Publication:501723231	PMID:17785527	2/20/08	TAIR
AT4G39400	Locus:2005498	AT4G33430	Locus:2119260	IDA	in vitro assay		PMID:18694562	5/22/09	BIOGRID
AT4G39400	Locus:2005498	AT5G19280	Locus:2150220	IPI	Co-crystallization	Publication:501720969	PMID:17302430	5/22/09	BIOGRID
AT4G39400	Locus:2005498	AT5G42750	Locus:2165472	IPI	Co-immunoprecipitation	Publication:501721274	PMID:16857903	4/24/07	TAIR
AT5G01410	Locus:2179142	AT3G16050	Locus:2093427	IPI	yeast two-hybrid assay	Publication:501719430	PMID:16766694	2/20/07	TAIR
AT5G01410	Locus:2179142	AT5G60540	Locus:2175083	IPI	yeast two-hybrid assay	Publication:501719430	PMID:16766694	2/20/07	TAIR
AT5G01630	Locus:2149800	AT3G22880	Locus:2084558	IPI	Co-immunoprecipitation	Publication:501718380	PMID:16415210	2/27/06	TAIR
AT5G01630	Locus:2149800	AT5G20850	Locus:2147092	IPI	Co-immunoprecipitation	Publication:501718380	PMID:16415210	2/27/06	TAIR
AT5G02030	Locus:2185183	AT4G08150	Locus:2128828	IPI	far-Western analysis	Publication:501710202	PMID:12897247	7/21/08	TAIR
AT5G02200	Locus:2185188	AT2G37678	Locus:4010713689	IPI	fusion protein pull-down assay	Publication:501722825	PMID:16045472	8/29/07	TAIR
AT5G02820	Locus:2151221	AT3G20780	Locus:2091916	IPI	yeast two-hybrid assay	Publication:501718268	PMID:16339310	5/10/06	TAIR
AT5G04470	Locus:2184422	AT3G48750	Locus:2099478	IPI	fluorescence resonance energy transfer (FRET)	Publication:501720385	PMID:17098811	3/28/07	TAIR
AT5G04470	Locus:2184422	AT5G65420	Locus:2168252	IPI	fluorescence resonance energy transfer (FRET)	Publication:501720385	PMID:17098811	2/26/08	TAIR
AT5G05000	Locus:2175259	AT3G16620	Locus:2089348	IDA	affinity capture	Publication:796	PMID:10646606	5/22/09	BIOGRID
AT5G05170	Locus:2156789	AT5G64740	Locus:2176090	IPI	Co-immunoprecipitation	Publication:501723132	PMID:17878303	3/20/08	TAIR
AT5G05410	Locus:2153504	AT2G30580	Locus:2064392	IPI	yeast two-hybrid assay	Publication:501725141	PMID:18552202	5/22/09	BIOGRID
AT5G06950	Locus:2169394	AT5G45110	Locus:2153192	IPI	yeast two-hybrid assay	Publication:501720485	PMID:17076807	3/21/07	TAIR
AT5G06960	Locus:2169409	AT5G45110	Locus:2153192	IPI	yeast two-hybrid assay	Publication:501720485	PMID:17076807	3/21/07	TAIR
AT5G08130	Locus:2181549	AT1G24590	Locus:2024076	IDA	affinity capture	Publication:501729029	PMID:18830673	5/22/09	BIOGRID
AT5G09250	Locus:2184747	AT4G29940	Locus:2005538	IPI	yeast two-hybrid assay	Publication:2309	PMID:9681033	7/10/08	TAIR
AT5G09420	Locus:2184757	AT3G54660	Locus:2102410	IPI	yeast two-hybrid assay	Publication:501723639	PMID:17981999	2/5/08	TAIR
AT5G10380	Locus:2142449	AT5G17690	Locus:2176006	IPI	yeast two-hybrid assay	Publication:501729294	PMID:19097900	5/22/09	BIOGRID
AT5G10450	Locus:2142489	AT1G75080	Locus:2037279	IDA	in vitro reconstitution assay with recombinant protein	Publication:501722988	PMID:17681130	5/22/09	BIOGRID
AT5G11390	Locus:2148057	AT4G26450	Locus:2131433	IDA	affinity capture	Publication:501725058	PMID:18591351	5/22/09	BIOGRID
AT5G11390	Locus:2148057	AT5G43070	Locus:2167831	IPI	yeast two-hybrid assay	Publication:501725058	PMID:18591351	5/22/09	BIOGRID
AT5G11390	Locus:2148057	AT5G56210	Locus:2156440	IPI	yeast two-hybrid assay	Publication:501725058	PMID:18591351	5/22/09	BIOGRID
AT5G11710	Locus:2181920	AT3G52850	Locus:2085136	IPI	Co-immunoprecipitation	Publication:501719753	PMID:16905657	11/14/06	TAIR
AT5G11710	Locus:2181920	AT5G39510	Locus:2175733	IPI	Co-immunoprecipitation	Publication:501719753	PMID:16905657	2/22/08	TAIR
AT5G15210	Locus:2150871	AT1G75240	Locus:2025121	IPI	yeast two-hybrid assay	Publication:501718353	PMID:16428600	3/27/06	TAIR
AT5G15840	Locus:2143206	AT1G56170	Locus:2011776	IPI	yeast two-hybrid assay	Publication:501720277	PMID:17138697	5/22/09	BIOGRID
AT5G15840	Locus:2143206	AT5G47640	Locus:2168983	IPI	yeast two-hybrid assay	Publication:501720277	PMID:17138697	5/22/09	BIOGRID
AT5G15850	Locus:2143221	AT4G02570	Locus:2132377	IDA	affinity capture	Publication:501715696	PMID:12724535	5/22/09	BIOGRID
AT5G15850	Locus:2143221	AT4G14110	Locus:2129435	IDA	affinity capture	Publication:501715696	PMID:12724535	5/22/09	BIOGRID
AT5G15850	Locus:2143221	AT5G14250	Locus:2145638	IDA	affinity capture	Publication:501715696	PMID:12724535	5/22/09	BIOGRID
AT5G15850	Locus:2143221	AT5G42970	Locus:2159961	IDA	affinity capture	Publication:501715696	PMID:12724535	5/22/09	BIOGRID
AT5G15850	Locus:2143221	AT5G56280	Locus:2177601	IDA	affinity capture	Publication:501715696	PMID:12724535	5/22/09	BIOGRID
AT5G16690	Locus:2148995	AT4G14700	Locus:2130090	IPI	Co-immunoprecipitation	Publication:501717676	PMID:16179646	5/10/06	TAIR
AT5G16690	Locus:2148995	AT4G29910	Locus:2123934	IPI	Co-immunoprecipitation	Publication:501717676	PMID:16179646	5/10/06	TAIR
AT5G16840	Locus:2148970	AT3G13720	Locus:2091556	IPI	yeast two-hybrid assay	Publication:501728985	PMID:18845362	5/22/09	BIOGRID
AT5G17690	Locus:2176006	AT5G67100	Locus:2155593	IPI	fusion protein pull-down assay	Publication:501723152	PMID:17873092	11/5/07	TAIR
AT5G18810	Locus:2144945	AT1G09140	Locus:2195346	IDA	in vitro reconstitution assay with recombinant protein		PMID:18674533	5/22/09	BIOGRID
AT5G18810	Locus:2144945	AT1G23860	Locus:2199837	IDA	in vitro reconstitution assay with recombinant protein		PMID:18674533	5/22/09	BIOGRID
AT5G19280	Locus:2150220	AT4G23140	Locus:2121621	IDA	in vitro binding assay	Publication:4658	PMID:7973632	3/24/06	TAIR
AT5G19280	Locus:2150220	AT5G46330	Locus:2170483	IPI	yeast two-hybrid assay	Publication:501680475	PMID:11340188	3/24/06	TAIR
AT5G19330	Locus:2150295	AT2G01120	Locus:2045745	IDA	in vitro reconstitution assay with recombinant protein	Publication:501728647	PMID:18818695	5/22/09	BIOGRID
AT5G19330	Locus:2150295	AT3G54710	Locus:2102460	IDA	in vitro reconstitution assay with recombinant protein	Publication:501728647	PMID:18818695	5/22/09	BIOGRID
AT5G19330	Locus:2150295	AT4G12620	Locus:2135575	IDA	in vitro reconstitution assay with recombinant protein	Publication:501728647	PMID:18818695	5/22/09	BIOGRID
AT5G19330	Locus:2150295	AT5G16690	Locus:2148995	IDA	affinity capture	Publication:501728647	PMID:18818695	5/22/09	BIOGRID
AT5G20570	Locus:2149927	AT4G10180	Locus:2005505	IDA	in vitro reconstitution assay with recombinant protein	Publication:501719356	PMID:16792691	5/22/09	BIOGRID
AT5G20570	Locus:2149927	AT5G46210	Locus:2162060	IDA	affinity capture	Publication:501719202	PMID:16844902	5/22/09	BIOGRID
AT5G20850	Locus:2147092	AT3G22880	Locus:2084558	IPI	Co-immunoprecipitation	Publication:501718380	PMID:16415210	4/21/06	TAIR
AT5G22220	Locus:3685148	AT5G02470	Locus:2181788	IPI	Co-immunoprecipitation	Publication:501717344	PMID:16055635	5/30/06	TAIR
AT5G23880	Locus:2172843	AT1G61010	Locus:2206076	IPI	yeast two-hybrid assay	Publication:501719773	PMID:16897494	5/22/09	BIOGRID
AT5G23880	Locus:2172843	AT2G01730	Locus:2065368	IPI	yeast two-hybrid assay	Publication:501719773	PMID:16897494	5/22/09	BIOGRID
AT5G23880	Locus:2172843	AT5G13480	Locus:2185036	IDA	affinity capture	Publication:501719845	PMID:17008405	5/22/09	BIOGRID
AT5G23880	Locus:2172843	AT5G51660	Locus:2153122	IPI	yeast two-hybrid assay	Publication:501719773	PMID:16897494	5/22/09	BIOGRID
AT5G24270	Locus:2169794	AT5G35410	Locus:2155233	IPI	yeast two-hybrid assay	Publication:646	PMID:10725350	5/22/09	BIOGRID
AT5G24470	Locus:2184007	AT2G18915	Locus:505006254	IPI	yeast two-hybrid assay	Publication:501713042	PMID:15310821	5/22/09	BIOGRID
AT5G24470	Locus:2184007	AT3G04910	Locus:2114845	IPI	yeast two-hybrid assay	Publication:501681499	PMID:12091722	5/22/09	BIOGRID
AT5G24470	Locus:2184007	AT5G57360	Locus:2172994	IDA	affinity capture	Publication:501725116	PMID:18562312	5/22/09	BIOGRID
AT5G24520	Locus:2153914	AT5G41315	Locus:504954829	IPI	fusion protein pull-down assay	Publication:501724469	PMID:18434419	5/14/08	TAIR
AT5G24800	Locus:2149403	AT5G49450	Locus:2157999	IPI	yeast two-hybrid assay	Publication:501719057	PMID:16709202	4/5/07	TAIR
AT5G25350	Locus:2145512	AT2G45280	Locus:2050852	IPI	yeast two-hybrid assay	Publication:501711622	PMID:14675532	5/11/06	TAIR
AT5G25350	Locus:2145512	AT3G20770	Locus:2091906	IPI	yeast two-hybrid assay	Publication:501711622	PMID:14675532	5/11/06	TAIR
AT5G25350	Locus:2145512	AT5G20850	Locus:2147092	IPI	yeast two-hybrid assay	Publication:501711622	PMID:14675532	5/11/06	TAIR
AT5G26980	Locus:2148513	AT5G58180	Locus:2161288	IPI	Co-immunoprecipitation	Publication:501716383	PMID:15919093	3/3/06	TAIR
AT5G27320	Locus:2146425	AT1G66350	Locus:2201557	IPI	yeast two-hybrid assay	Publication:501719058	PMID:16709201	6/14/06	TAIR
AT5G27320	Locus:2146425	AT2G01570	Locus:2005516	IPI	yeast two-hybrid assay	Publication:501720506	PMID:17194763	5/22/09	BIOGRID
AT5G27320	Locus:2146425	AT3G03450	Locus:2099624	IPI	yeast two-hybrid assay	Publication:501719058	PMID:16709201	6/14/06	TAIR
AT5G27320	Locus:2146425	AT5G17490	Locus:2157477	IPI	yeast two-hybrid assay	Publication:501719058	PMID:16709201	6/14/06	TAIR
AT5G28770	Locus:2184251	AT5G49450	Locus:2157999	IPI	yeast two-hybrid assay	Publication:501719057	PMID:16709202	4/5/07	TAIR
